File;TimeStamp;Force [V]; Force [N]
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0000_0.tiff;789.471052;0.281807467512114;70.4518668780285
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0001_0.tiff;790.471092;0.288383961298573;72.0959903246434
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0002_0.tiff;791.471325;0.301536948923276;75.3842372308189
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0003_0.tiff;792.471338;0.302852247689585;75.7130619223963
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0004_0.tiff;793.471454;0.315676410698208;78.9191026745521
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0005_0.tiff;794.471072;0.314361111924975;78.5902779812438
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0006_0.tiff;795.470841;0.315347586004833;78.8368965012082
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0007_0.tiff;796.471019;0.320279956410186;80.0699891025464
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0008_0.tiff;797.470925;0.31995113171618;79.987782929045
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0009_0.tiff;798.470623;0.32356820335273;80.8920508381825
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0010_0.tiff;799.472069;0.332117645424647;83.0294113561617
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0011_0.tiff;800.470742;0.3265276256049;81.6319064012251
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0012_0.tiff;801.470729;0.349545354360235;87.3863385900588
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0013_0.tiff;802.471090;0.368946011633196;92.236502908299
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0014_0.tiff;803.470817;0.447863941311344;111.965985327836
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0015_0.tiff;804.471481;0.847386014340605;211.846503585151
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0016_0.tiff;805.471060;1.01377137156756;253.442842891889
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0017_0.tiff;806.470815;1.01705961996286;254.264904990716
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0018_0.tiff;807.471113;1.01048312318148;252.620780795371
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0019_0.tiff;808.470831;1.0088389989919;252.209749747976
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0020_0.tiff;809.470944;1.02856848941951;257.142122354878
