x [mm];y [mm];z [mm];X-displacement [mm];Y-displacement [mm];Z-displacement [mm];Displacement [mm];Exx [S];Eyy [S];Exy [S];Poisson's ratio -strain min/max;Poisson's ratio -Exx/Eyy;Poisson's ratio -Eyy/Exx;Poisson's ratio -strain max/min;Maximum principal strain [S];Minimum principal strain [S];Maximum shear strain [S];Maximum shear angle [°];Maximum strain angle [°];Tresca strain [S];Von Mises strain [S];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity-z [S];Height [mm];du/dx+dv/dy [S];Div-xy [S];Stereo reconstruction error [pixel]
1.375163;3.69314;0.664501;8.39567e-13;0;0;8.39567e-13;0;-1.110223e-16;1.462388e-17;0;0;0;0;1.893951e-18;-1.129163e-16;5.74051e-17;45;0;7.654013e-17;7.59167e-17;0;5.826355e-17;-2.901579e-17;-1.110223e-16;-8.727933e-17;0.664501;-1.110223e-16;1.110223e-16;0
-0.303971;3.625975;0.536004;8.39567e-13;0;0;8.39567e-13;-3.330669e-16;2.220446e-16;7.506112e-17;0;0;0;0;2.320151e-16;-3.430374e-16;2.875263e-16;45;0;3.833684e-16;3.340629e-16;-3.330669e-16;1.501222e-16;0;2.220446e-16;-1.501222e-16;0.536004;-1.110223e-16;1.110223e-16;0
-0.236806;3.625975;0.623868;8.39567e-13;0;0;8.39567e-13;-1.110223e-16;4.440892e-16;-5.417001e-17;0;0;0;0;4.493259e-16;-1.16259e-16;2.827925e-16;45;0;3.770566e-16;3.448982e-16;-1.110223e-16;-6.208006e-17;-4.625997e-17;4.440892e-16;1.582009e-17;0.623868;3.330669e-16;-3.330669e-16;0
-0.169641;3.625975;0.685006;8.39567e-13;0;0;8.39567e-13;0;0;-6.053866e-17;0;0;0;0;6.053866e-17;-6.053866e-17;6.053866e-17;45;0;8.071821e-17;6.990402e-17;0;-1.042156e-16;-1.686176e-17;0;8.73538e-17;0.685006;0;0;0
-0.102475;3.625975;0.755452;8.39567e-13;0;0;8.39567e-13;-1.110223e-16;2.220446e-16;2.952964e-17;0;0;0;0;2.246424e-16;-1.136201e-16;1.691313e-16;45;0;2.255084e-16;1.987714e-16;-1.110223e-16;5.905928e-17;0;2.220446e-16;-5.905928e-17;0.755452;1.110223e-16;-1.110223e-16;0
-0.03531;3.625975;0.794271;8.39567e-13;0;0;8.39567e-13;-1.110223e-16;-2.220446e-16;6.596351e-18;0;0;0;0;-1.106318e-16;-2.224351e-16;5.59017e-17;45;0;7.45356e-17;1.284236e-16;-1.110223e-16;2.933136e-18;1.025957e-17;-2.220446e-16;7.32643e-18;0.794271;-3.330669e-16;3.330669e-16;0
0.031855;3.625975;0.821382;8.39567e-13;0;0;8.39567e-13;0;-1.110223e-16;-4.270209e-17;0;0;0;0;1.452424e-17;-1.255465e-16;7.00354e-17;45;0;9.338053e-17;8.893532e-17;0;-6.641832e-17;-1.898586e-17;-1.110223e-16;4.743245e-17;0.821382;-1.110223e-16;1.110223e-16;0
0.099021;3.625975;0.866677;8.39567e-13;0;0;8.39567e-13;0;-2.220446e-16;2.148061e-17;0;0;0;0;2.058944e-18;-2.241036e-16;1.130812e-16;45;0;1.50775e-16;1.500934e-16;0;3.539923e-17;7.56199e-18;-2.220446e-16;-2.783724e-17;0.866677;-2.220446e-16;2.220446e-16;0
0.166186;3.625975;0.897819;8.39567e-13;0;0;8.39567e-13;-2.220446e-16;2.220446e-16;-7.80311e-18;0;0;0;0;2.221817e-16;-2.221817e-16;2.221817e-16;45;0;2.962422e-16;2.565533e-16;-2.220446e-16;-1.274314e-17;-2.863074e-18;2.220446e-16;9.880071e-18;0.897819;0;0;0
0.233352;3.625975;0.882743;8.39567e-13;0;0;8.39567e-13;-2.220446e-16;4.440892e-16;9.431507e-17;0;0;0;0;4.571854e-16;-2.351408e-16;3.461631e-16;45;0;4.615508e-16;4.065096e-16;-2.220446e-16;-2.309162e-17;2.117218e-16;4.440892e-16;2.348134e-16;0.882743;2.220446e-16;-2.220446e-16;0
0.367682;3.625975;0.837387;8.39567e-13;0;0;8.39567e-13;4.440892e-16;4.440892e-16;3.299919e-16;0;0;0;0;7.740811e-16;1.140973e-16;3.299919e-16;45;0;4.399892e-16;4.825392e-16;4.440892e-16;2.306439e-16;4.293399e-16;4.440892e-16;1.98696e-16;0.837387;8.881784e-16;-8.881784e-16;0
0.434848;3.625975;0.877463;8.39567e-13;0;0;8.39567e-13;0;-1.110223e-16;-1.338999e-17;0;0;0;0;1.592087e-18;-1.126144e-16;5.710324e-17;45;0;7.613765e-17;7.561254e-17;0;-2.677999e-17;0;-1.110223e-16;2.677999e-17;0.877463;-1.110223e-16;1.110223e-16;0
0.502013;3.625975;0.944868;8.39567e-13;0;0;8.39567e-13;-1.110223e-16;0;-7.087456e-17;0;0;0;0;3.451491e-17;-1.455372e-16;9.002606e-17;45;0;1.200347e-16;1.10344e-16;-1.110223e-16;-1.033398e-16;-3.840932e-17;0;6.493046e-17;0.944868;-1.110223e-16;1.110223e-16;0
0.569178;3.625975;0.998377;8.39567e-13;0;0;8.39567e-13;-2.220446e-16;0;-6.388542e-17;0;0;0;0;1.706868e-17;-2.391133e-16;1.28091e-16;45;0;1.70788e-16;1.653923e-16;-2.220446e-16;-9.351031e-17;-3.426053e-17;0;5.924978e-17;0.998377;-2.220446e-16;2.220446e-16;0
