Time;Image index (Image index);Distance L(t) (Extensometer ID: 328);Change in distance (Extensometer ID: 328);Strain (Extensometer ID: 328);Distance x L(t) (Extensometer ID: 328);Distance y L(t) (Extensometer ID: 328);Distance z L(t) (Extensometer ID: 328);Change in distance x (Extensometer ID: 328);Change in distance y (Extensometer ID: 328);Change in distance z (Extensometer ID: 328);Extensometer : Distance change Extensometer : Distance change;Extensometer : Distance L(t=N) Extensometer : Distance L(t=N);Extensometer : Distance L(t = 0) Extensometer : Distance L(t = 0);Extensometer : Distance change per second Extensometer : Distance change per second;Extensometer : Strain Extensometer;kilo Newton ADC channel 1
ms;;mm;mm;S;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm/s;S;kN
348.726150;;;;;;;;;;;0.000000;7.001989;7.001989;-0.000000;0.000000;0.003513
848.726150;;;;;;;;;;;0.000107;7.002096;7.001989;0.000215;0.000015;0.003486
1348.726150;;;;;;;;;;;0.000092;7.002081;7.001989;-0.000031;0.000013;0.006209
1848.726150;;;;;;;;;;;0.000016;7.002005;7.001989;-0.000151;0.000002;0.010340
2348.726150;;;;;;;;;;;-0.000143;7.001846;7.001989;-0.000318;-0.000020;0.014401
2848.726150;;;;;;;;;;;-0.000129;7.001860;7.001989;0.000027;-0.000018;0.018506
3348.726150;;;;;;;;;;;-0.000257;7.001732;7.001989;-0.000256;-0.000037;0.022634
3848.726150;;;;;;;;;;;-0.000170;7.001819;7.001989;0.000173;-0.000024;0.025368
4348.726150;;;;;;;;;;;-0.000272;7.001717;7.001989;-0.000203;-0.000039;0.029470
4848.726150;;;;;;;;;;;-0.000223;7.001766;7.001989;0.000097;-0.000032;0.033590
5348.726150;;;;;;;;;;;-0.000246;7.001743;7.001989;-0.000046;-0.000035;0.036886
5848.726150;;;;;;;;;;;-0.000235;7.001754;7.001989;0.000021;-0.000034;0.041802
6348.726150;;;;;;;;;;;-0.000096;7.001893;7.001989;0.000279;-0.000014;0.045910
6848.726150;;;;;;;;;;;-0.000221;7.001768;7.001989;-0.000251;-0.000032;0.051363
7348.726150;;;;;;;;;;;-0.000109;7.001880;7.001989;0.000225;-0.000016;0.055990
7848.726150;;;;;;;;;;;-0.000035;7.001954;7.001989;0.000147;-0.000005;0.060963
8348.726150;;;;;;;;;;;-0.000020;7.001968;7.001989;0.000029;-0.000003;0.066423
8848.726150;;;;;;;;;;;-0.000011;7.001978;7.001989;0.000019;-0.000002;0.071923
9348.726150;;;;;;;;;;;0.000079;7.002068;7.001989;0.000179;0.000011;0.077333
9848.726150;;;;;;;;;;;0.000202;7.002191;7.001989;0.000246;0.000029;0.082720
10348.726150;;;;;;;;;;;0.000155;7.002144;7.001989;-0.000095;0.000022;0.089522
10848.726150;;;;;;;;;;;0.000299;7.002288;7.001989;0.000288;0.000043;0.095010
11348.726150;;;;;;;;;;;0.000409;7.002398;7.001989;0.000220;0.000058;0.100471
11848.726150;;;;;;;;;;;0.000434;7.002423;7.001989;0.000051;0.000062;0.107297
12348.726150;;;;;;;;;;;0.000530;7.002519;7.001989;0.000191;0.000076;0.114115
12848.726150;;;;;;;;;;;0.000561;7.002549;7.001989;0.000062;0.000080;0.120982
13348.726150;;;;;;;;;;;0.000581;7.002570;7.001989;0.000041;0.000083;0.127823
13848.726150;;;;;;;;;;;0.000670;7.002659;7.001989;0.000178;0.000096;0.136012
14348.726150;;;;;;;;;;;0.000774;7.002763;7.001989;0.000207;0.000111;0.142871
14848.726150;;;;;;;;;;;0.000811;7.002800;7.001989;0.000074;0.000116;0.149700
15348.726150;;;;;;;;;;;0.000885;7.002874;7.001989;0.000148;0.000126;0.157920
15848.726150;;;;;;;;;;;0.001098;7.003087;7.001989;0.000426;0.000157;0.166075
16348.726150;;;;;;;;;;;0.001099;7.003087;7.001989;0.000001;0.000157;0.174359
16848.726150;;;;;;;;;;;0.001123;7.003112;7.001989;0.000049;0.000160;0.183926
17348.726150;;;;;;;;;;;0.001310;7.003299;7.001989;0.000374;0.000187;0.192117
17848.726150;1.000000;7.027803;0.000000;0.000000;0.069346;7.027181;0.062726;0.000000;0.000000;0.000000;0.001340;7.003328;7.001989;0.000058;0.000191;0.197614
18348.726150;;;;;;;;;;;0.001418;7.003407;7.001989;0.000156;0.000202;0.211304
18848.726150;;;;;;;;;;;0.001315;7.003304;7.001989;-0.000205;0.000188;0.219525
19348.726150;;;;;;;;;;;0.001470;7.003459;7.001989;0.000310;0.000210;0.230433
19848.726150;;;;;;;;;;;0.001517;7.003506;7.001989;0.000094;0.000217;0.241409
20348.726150;;;;;;;;;;;0.001619;7.003608;7.001989;0.000204;0.000231;0.250882
20848.726150;;;;;;;;;;;0.001694;7.003683;7.001989;0.000149;0.000242;0.261813
21348.726150;;;;;;;;;;;0.001864;7.003853;7.001989;0.000340;0.000266;0.271365
21848.726150;;;;;;;;;;;0.001940;7.003928;7.001989;0.000151;0.000277;0.282260
22348.726150;;;;;;;;;;;0.002129;7.004118;7.001989;0.000379;0.000304;0.293205
22848.726150;2.000000;7.028665;0.000862;0.000123;0.068660;7.028014;0.066641;-0.000686;0.000833;0.003915;0.002259;7.004248;7.001989;0.000260;0.000323;0.305456
23348.726150;;;;;;;;;;;0.002387;7.004376;7.001989;0.000256;0.000341;0.317802
23848.726150;;;;;;;;;;;0.002453;7.004441;7.001989;0.000130;0.000350;0.330121
24348.726150;;;;;;;;;;;0.002663;7.004652;7.001989;0.000421;0.000380;0.342514
24848.726150;;;;;;;;;;;0.002606;7.004595;7.001989;-0.000114;0.000372;0.353483
25348.726150;;;;;;;;;;;0.002735;7.004724;7.001989;0.000257;0.000391;0.365777
25848.726150;;;;;;;;;;;0.002722;7.004711;7.001989;-0.000025;0.000389;0.379470
26348.726150;;;;;;;;;;;0.002803;7.004791;7.001989;0.000161;0.000400;0.393134
26848.726150;;;;;;;;;;;0.003059;7.005048;7.001989;0.000513;0.000437;0.406808
27348.726150;;;;;;;;;;;0.003286;7.005275;7.001989;0.000454;0.000469;0.420388
27848.726150;3.000000;7.029718;0.001915;0.000273;0.069190;7.029093;0.063315;-0.000156;0.001912;0.000589;0.003413;7.005402;7.001989;0.000255;0.000487;0.432895
28348.726150;;;;;;;;;;;0.003579;7.005568;7.001989;0.000331;0.000511;0.446380
