x_pic,y_pic,x,y,z,u,v,w,exx,eyy,exy,e1,e2,gamma,evm
766,849,3.38036E-001,-4.70651E+000,-8.78250E-003,-1.90315E-004,-2.11928E-004,2.57616E-003,-2.00419E-004,3.30688E-004,3.26860E-005,3.32693E-004,-2.02423E-004,8.64915E+001,3.35290E-004
756,839,2.55420E-001,-4.78941E+000,-7.22113E-003,4.03527E-005,-3.09278E-004,1.88022E-003,5.11395E-005,3.10740E-004,-3.33817E-005,3.14963E-004,4.69158E-005,-8.27887E+001,3.93581E-004
756,849,2.55236E-001,-4.70647E+000,-9.71225E-003,-1.76921E-005,-2.15587E-004,1.25359E-003,5.28141E-005,3.93281E-004,-1.32735E-005,3.93798E-004,5.22974E-005,-8.77708E+001,4.87725E-004
756,859,2.55238E-001,-4.62339E+000,-1.00997E-002,1.99061E-005,-9.41636E-005,1.35253E-003,7.63050E-006,2.54297E-004,-9.55766E-005,2.86996E-004,-2.50683E-005,-7.11131E+001,3.17911E-004
766,839,3.38142E-001,-4.78931E+000,-8.79454E-003,-9.49362E-005,-2.87393E-004,2.48406E-003,-1.31838E-004,2.68949E-004,-3.87183E-005,2.72655E-004,-1.35544E-004,-8.45323E+001,2.72657E-004
766,859,3.38067E-001,-4.62354E+000,-1.06147E-002,-2.74408E-005,-1.39496E-004,2.70588E-003,-1.75456E-004,1.38791E-004,-3.90883E-006,1.38840E-004,-1.75504E-004,-8.92875E+001,1.85153E-004
776,839,4.21398E-001,-4.78946E+000,-4.23691E-003,-1.27704E-004,-2.74944E-004,2.62889E-003,-4.06198E-005,2.23639E-004,-1.15427E-004,2.66956E-004,-8.39372E-005,-6.94299E+001,2.73017E-004
776,849,4.21216E-001,-4.70681E+000,-6.49769E-003,-1.35763E-004,-2.32014E-004,2.93656E-003,-5.97006E-005,2.26301E-004,-1.74235E-005,2.27358E-004,-6.07581E-005,-8.65266E+001,2.35427E-004
776,859,4.21329E-001,-4.62354E+000,-6.16716E-003,-1.45062E-005,-1.19710E-004,3.34425E-003,4.61756E-005,3.03541E-005,2.73481E-006,4.66350E-005,2.98947E-005,9.53535E+000,7.71376E-005
746,829,1.72446E-001,-4.87204E+000,-2.31799E-003,-1.72310E-004,-2.55155E-004,3.22082E-003,8.66450E-005,-9.91231E-006,-7.16850E-006,8.71743E-005,-1.04416E-005,-4.22284E+000,9.52061E-005
746,839,1.72271E-001,-4.78935E+000,-6.47738E-003,-1.03118E-004,-2.72458E-004,2.73398E-003,4.61979E-005,2.15852E-004,-2.53281E-005,2.19552E-004,4.24973E-005,-8.16876E+001,2.81282E-004
746,849,1.72238E-001,-4.70639E+000,-8.40637E-003,-1.26197E-005,-1.94538E-004,2.63953E-003,1.76456E-004,3.65076E-004,-9.57751E-005,4.05180E-004,1.36352E-004,-6.72792E+001,5.63335E-004
756,829,2.55407E-001,-4.87206E+000,-6.35966E-003,1.54842E-005,-2.59832E-004,2.63191E-003,8.26049E-005,-9.66444E-005,-1.11861E-004,1.36317E-004,-1.50357E-004,-2.56489E+001,1.66106E-004
766,829,3.38213E-001,-4.87192E+000,-7.48157E-003,-4.35833E-005,-2.27423E-004,3.56436E-003,-1.62172E-005,-2.17519E-004,-1.22580E-004,4.17397E-005,-2.75476E-004,-2.53052E+001,2.96942E-004
746,859,1.72271E-001,-4.62343E+000,-7.76897E-003,-3.03418E-005,-4.69812E-005,2.43873E-003,2.34386E-004,2.98229E-004,-1.32384E-004,4.02486E-004,1.30129E-004,-5.17784E+001,5.55342E-004
776,829,4.21098E-001,-4.87197E+000,-7.86566E-003,-1.69214E-004,-2.54011E-004,3.02283E-003,5.86627E-005,-2.82456E-004,-1.61718E-004,1.23142E-004,-3.46936E-004,-2.17379E+001,3.51769E-004
786,829,5.04209E-001,-4.87250E+000,-6.94707E-003,-1.20857E-004,-3.34423E-004,2.97926E-003,6.00461E-004,-2.41815E-004,-1.68654E-004,6.32976E-004,-2.74331E-004,-1.09123E+001,6.34845E-004
786,839,5.04673E-001,-4.78964E+000,-1.97005E-003,-1.93054E-005,-1.91888E-004,2.35372E-003,4.83555E-004,1.95652E-004,-1.39514E-004,5.40068E-004,1.39139E-004,-2.20515E+001,7.17567E-004
786,849,5.04317E-001,-4.70685E+000,-5.95052E-003,-8.36111E-005,-2.08743E-004,2.75342E-003,3.76199E-004,1.98301E-004,-6.98318E-005,4.00336E-004,1.74164E-004,-1.90673E+001,5.89153E-004
786,859,5.03985E-001,-4.62373E+000,-9.47749E-003,-1.16048E-004,-2.18504E-004,3.72775E-003,3.04346E-004,1.53009E-007,-1.69543E-005,3.05288E-004,-7.89027E-007,-3.18027E+000,3.52061E-004
746,869,1.72350E-001,-4.54035E+000,-7.26662E-003,3.08989E-005,-4.01710E-005,2.61529E-003,2.75833E-004,1.65673E-004,-6.73655E-005,3.07770E-004,1.33736E-004,-2.53648E+001,4.52796E-004
