Index;ADC 1 channel 1 [V];Camera 1 : Exposure time [];Camera 2 : Exposure time [];LightSource 1 : Illumination time [];Reference time : Time 1 []
1;-0.00191765;50500;50500;50500;25.15
2;-0.0019085;50500;50500;50500;25.15
3;-0.000482486;50500;50500;50500;25.15
4;0.00223068;50500;50500;50500;25.15
5;0.00498513;50500;50500;50500;25.15
6;0.0077368;50500;50500;50500;25.15
7;0.00909166;50500;50500;50500;25.15
8;0.0118183;50500;50500;50500;25.15
9;0.0145328;50500;50500;50500;25.15
10;0.0172881;50500;50500;50500;25.15
11;0.0200476;50500;50500;50500;25.15
12;0.022771;50500;50500;50500;25.15
13;0.0255087;50500;50500;50500;25.15
14;0.0282353;50500;50500;50500;25.15
15;0.0299103;50500;50500;50500;25.15
16;0.0322943;50500;50500;50500;25.15
17;0.0350563;50500;50500;50500;25.15
18;0.0378162;50500;50500;50500;25.15
19;0.040561;50500;50500;50500;25.15
20;0.0419032;50500;50500;50500;25.15
21;0.0446251;50500;50500;50500;25.15
22;0.0473637;50500;50500;50500;25.15
23;0.0501386;50500;50500;50500;25.15
24;0.0517393;50500;50500;50500;25.15
25;0.0542131;50500;50500;50500;25.15
26;0.0569412;50500;50500;50500;25.15
27;0.0597168;50500;50500;50500;25.15
28;0.0624439;50500;50500;50500;25.15
29;0.0651788;50500;50500;50500;25.15
30;0.0679198;50500;50500;50500;25.15
31;0.0699262;50500;50500;50500;25.15
32;0.0719971;50500;50500;50500;25.15
33;0.074746;50500;50500;50500;25.15
34;0.0774334;50500;50500;50500;25.15
35;0.0800773;50500;50500;50500;25.15
36;0.0828197;50500;50500;50500;25.15
37;0.0855739;50500;50500;50500;25.15
38;0.0882625;50500;50500;50500;25.15
39;0.0910309;50500;50500;50500;25.15
40;0.0937285;50500;50500;50500;25.15
41;0.0964921;50500;50500;50500;25.15
42;0.0991994;50500;50500;50500;25.15
43;0.101925;50500;50500;50500;25.15
44;0.104687;50500;50500;50500;25.15
45;0.10741;50500;50500;50500;25.15
46;0.1115;50500;50500;50500;25.15
47;0.114227;50500;50500;50500;25.15
48;0.116981;50500;50500;50500;25.15
49;0.119664;50500;50500;50500;25.15
50;0.12247;50500;50500;50500;25.15
51;0.125205;50500;50500;50500;25.15
52;0.12797;50500;50500;50500;25.15
53;0.130686;50500;50500;50500;25.15
54;0.133427;50500;50500;50500;25.15
55;0.136149;50500;50500;50500;25.15
56;0.138893;50500;50500;50500;25.15
57;0.141582;50500;50500;50500;25.15
58;0.14506;50500;50500;50500;25.15
59;0.148461;50500;50500;50500;25.15
60;0.151192;50500;50500;50500;25.15
61;0.153954;50500;50500;50500;25.15
62;0.156688;50500;50500;50500;25.15
63;0.159452;50500;50500;50500;25.15
64;0.162155;50500;50500;50500;25.15
65;0.166251;50500;50500;50500;25.15
66;0.168997;50500;50500;50500;25.15
67;0.171717;50500;50500;50500;25.15
68;0.174477;50500;50500;50500;25.15
69;0.177197;50500;50500;50500;25.15
70;0.179937;50500;50500;50500;25.15
71;0.183164;50500;50500;50500;25.15
72;0.186822;50500;50500;50500;25.15
73;0.189535;50500;50500;50500;25.15
74;0.1923;50500;50500;50500;25.15
75;0.196398;50500;50500;50500;25.15
76;0.200173;50500;50500;50500;25.15
77;0.203198;50500;50500;50500;25.15
78;0.205983;50500;50500;50500;25.15
79;0.21006;50500;50500;50500;25.15
80;0.212804;50500;50500;50500;25.15
81;0.215552;50500;50500;50500;25.15
82;0.219638;50500;50500;50500;25.15
83;0.222408;50500;50500;50500;25.15
84;0.22509;50500;50500;50500;25.15
85;0.228186;50500;50500;50500;25.15
86;0.231928;50500;50500;50500;25.15
87;0.234704;50500;50500;50500;25.15
88;0.238783;50500;50500;50500;25.15
89;0.241555;50500;50500;50500;25.15
90;0.245542;50500;50500;50500;25.15
91;0.248206;50500;50500;50500;25.15
92;0.251044;50500;50500;50500;25.15
93;0.255071;50500;50500;50500;25.15
94;0.25914;50500;50500;50500;25.15
95;0.261916;50500;50500;50500;25.15
96;0.265207;50500;50500;50500;25.15
97;0.268755;50500;50500;50500;25.15
98;0.27147;50500;50500;50500;25.15
99;0.275439;50500;50500;50500;25.15
100;0.278307;50500;50500;50500;25.15
101;0.282387;50500;50500;50500;25.15
102;0.285107;50500;50500;50500;25.15
103;0.289256;50500;50500;50500;25.15
104;0.291981;50500;50500;50500;25.15
105;0.29609;50500;50500;50500;25.15
106;0.300166;50500;50500;50500;25.15
107;0.304262;50500;50500;50500;25.15
108;0.307026;50500;50500;50500;25.15
109;0.311145;50500;50500;50500;25.15
110;0.313864;50500;50500;50500;25.15
111;0.31792;50500;50500;50500;25.15
112;0.322039;50500;50500;50500;25.15
113;0.324756;50500;50500;50500;25.15
114;0.328877;50500;50500;50500;25.15
115;0.331638;50500;50500;50500;25.15
116;0.335796;50500;50500;50500;25.15
117;0.339886;50500;50500;50500;25.15
118;0.342602;50500;50500;50500;25.15
119;0.346691;50500;50500;50500;25.15
120;0.350874;50500;50500;50500;25.15
121;0.35498;50500;50500;50500;25.15
122;0.358577;50500;50500;50500;25.15
123;0.361786;50500;50500;50500;25.15
124;0.365903;50500;50500;50500;25.15
125;0.370085;50500;50500;50500;25.15
126;0.374147;50500;50500;50500;25.15
127;0.378247;50500;50500;50500;25.15
128;0.381957;50500;50500;50500;25.15
129;0.385059;50500;50500;50500;25.15
130;0.389585;50500;50500;50500;25.15
131;0.39464;50500;50500;50500;25.15
132;0.399112;50500;50500;50500;25.15
133;0.404226;50500;50500;50500;25.15
134;0.409668;50500;50500;50500;25.15
135;0.414266;50500;50500;50500;25.15
136;0.419148;50500;50500;50500;25.15
137;0.424621;50500;50500;50500;25.15
138;0.428704;50500;50500;50500;25.15
139;0.433611;50500;50500;50500;25.15
140;0.438323;50500;50500;50500;25.15
141;0.443755;50500;50500;50500;25.15
142;0.449192;50500;50500;50500;25.15
143;0.454656;50500;50500;50500;25.15
144;0.458806;50500;50500;50500;25.15
145;0.464268;50500;50500;50500;25.15
146;0.46973;50500;50500;50500;25.15
147;0.475204;50500;50500;50500;25.15
148;0.480639;50500;50500;50500;25.15
149;0.484733;50500;50500;50500;25.15
150;0.49019;50500;50500;50500;25.15
151;0.494301;50500;50500;50500;25.15
152;0.499808;50500;50500;50500;25.15
153;0.505278;50500;50500;50500;25.15
154;0.51075;50500;50500;50500;25.15
155;0.514841;50500;50500;50500;25.15
156;0.52034;50500;50500;50500;25.15
157;0.524473;50500;50500;50500;25.15
158;0.529938;50500;50500;50500;25.15
159;0.534044;50500;50500;50500;25.15
160;0.539523;50500;50500;50500;25.15
161;0.543658;50500;50500;50500;25.15
162;0.547754;50500;50500;50500;25.15
163;0.551853;50500;50500;50500;25.15
164;0.555941;50500;50500;50500;25.15
165;0.56003;50500;50500;50500;25.15
166;0.56412;50500;50500;50500;25.15
167;0.566846;50500;50500;50500;25.15
168;0.571;50500;50500;50500;25.15
169;0.574598;50500;50500;50500;25.15
170;0.577818;50500;50500;50500;25.15
171;0.581898;50500;50500;50500;25.15
172;0.58594;50500;50500;50500;25.15
173;0.588649;50500;50500;50500;25.15
174;0.591399;50500;50500;50500;25.15
175;0.594123;50500;50500;50500;25.15
176;0.596861;50500;50500;50500;25.15
177;0.600936;50500;50500;50500;25.15
178;0.603675;50500;50500;50500;25.15
179;0.606459;50500;50500;50500;25.15
180;0.609199;50500;50500;50500;25.15
181;0.611936;50500;50500;50500;25.15
182;0.614651;50500;50500;50500;25.15
183;0.617379;50500;50500;50500;25.15
184;0.620107;50500;50500;50500;25.15
185;0.622581;50500;50500;50500;25.15
186;0.624199;50500;50500;50500;25.15
187;0.626923;50500;50500;50500;25.15
188;0.629655;50500;50500;50500;25.15
189;0.632406;50500;50500;50500;25.15
