***
*** Digital Image Correlation Engine (DICe), (git sha1: v3.0-beta.8-11-g5ebcdf) Copyright 2021 National Technology & Engineering Solutions of Sandia, LLC (NTESS)
***
*** Reference image: /home/rspencer/moose_work/Geometry_Optimisation/sens_opt_sinh_spline/imdef/imdef_0/defimage_0000.tiff 
*** Deformed image: /home/rspencer/moose_work/Geometry_Optimisation/sens_opt_sinh_spline/imdef/imdef_0/defimage_0001.tiff 
*** DIC method : local 
*** Correlation method: ZNSSD
*** Interpolation method: KEYS_FOURTH
*** Image gradient method: FINITE_DIFFERENCE
*** Optimization method: GRADIENT_BASED_THEN_SIMPLEX
*** Projection method: DISPLACEMENT_BASED
*** Guess initialization method: USE_FEATURE_MATCHING
*** Seed location: N/A
*** Shape functions: Translation (u,v) Normal Strain (ex,ey) Shear Strain (gamma_xy) 
*** Incremental correlation: false
*** Subset size: 21
*** Step size: x 10 y 10 (-1 implies not regular grid)
*** Strain window size in pixels: 100 (only first strain post-processor is reported)
*** Coordinates given with (0,0) as upper left corner of image, x positive right, y positive down
***
SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,VSG_STRAIN_XX,VSG_STRAIN_YY,SIGMA,GAMMA,MATCH
0,5.0000E+01,1.5600E+03,2.4607E-02,-1.0504E+00,1.3847E-05,-4.1831E-04,3.0029E-03,2.6405E-05,0.0000E+00
1,5.0000E+01,1.5500E+03,4.0560E-02,-1.0446E+00,-5.6720E-06,-4.2188E-04,3.1886E-03,2.0649E-05,0.0000E+00
2,5.0000E+01,1.5400E+03,5.4378E-02,-1.0412E+00,-2.2626E-05,-4.2684E-04,3.7350E-03,2.2760E-05,0.0000E+00
3,5.0000E+01,1.5300E+03,6.6998E-02,-1.0369E+00,-2.3993E-05,-4.2079E-04,3.7404E-03,2.9114E-05,0.0000E+00
4,5.0000E+01,4.6000E+02,-2.5226E-02,-6.1195E-02,-1.2811E-04,-4.0157E-04,3.3374E-03,2.1283E-05,0.0000E+00
5,5.0000E+01,4.5000E+02,-2.5475E-02,-5.7263E-02,-1.3442E-04,-4.0606E-04,3.2247E-03,2.1242E-05,0.0000E+00
6,6.0000E+01,4.5000E+02,-2.6927E-02,-5.8382E-02,-1.4114E-04,-4.0922E-04,2.7996E-03,2.3466E-05,0.0000E+00
7,6.0000E+01,4.6000E+02,-2.6368E-02,-6.2381E-02,-1.3739E-04,-4.0135E-04,2.9060E-03,2.4022E-05,0.0000E+00
8,6.0000E+01,4.7000E+02,-2.5956E-02,-6.6632E-02,-1.3834E-04,-3.9972E-04,3.5465E-03,2.1263E-05,0.0000E+00
9,6.0000E+01,4.8000E+02,-2.5831E-02,-6.9679E-02,-1.3909E-04,-4.0115E-04,3.1648E-03,2.1815E-05,0.0000E+00
10,6.0000E+01,4.9000E+02,-2.6965E-02,-7.3819E-02,-1.3787E-04,-3.9872E-04,3.6166E-03,2.4653E-05,0.0000E+00
11,6.0000E+01,5.0000E+02,-2.6698E-02,-7.7561E-02,-1.3186E-04,-3.9253E-04,3.6840E-03,2.5833E-05,0.0000E+00
12,6.0000E+01,5.1000E+02,-2.6088E-02,-8.0880E-02,-1.2530E-04,-3.9204E-04,3.7879E-03,2.4593E-05,0.0000E+00
13,6.0000E+01,1.4700E+03,1.4184E-01,-1.0234E+00,-4.8251E-05,-3.0671E-04,4.0589E-03,3.6444E-05,0.0000E+00
14,6.0000E+01,1.4800E+03,1.3031E-01,-1.0268E+00,-5.4263E-05,-3.3161E-04,3.2419E-03,2.9042E-05,0.0000E+00
15,6.0000E+01,1.4900E+03,1.1854E-01,-1.0293E+00,-6.2229E-05,-3.5557E-04,3.2720E-03,2.5350E-05,0.0000E+00
16,6.0000E+01,1.5000E+03,1.0564E-01,-1.0332E+00,-5.7217E-05,-3.7023E-04,3.5783E-03,2.3325E-05,0.0000E+00
17,6.0000E+01,1.5100E+03,9.2797E-02,-1.0377E+00,-5.2693E-05,-3.8457E-04,3.5946E-03,2.2175E-05,0.0000E+00
18,6.0000E+01,1.5200E+03,7.9626E-02,-1.0416E+00,-4.4955E-05,-3.9927E-04,3.6181E-03,2.5534E-05,0.0000E+00
19,6.0000E+01,1.5300E+03,6.6786E-02,-1.0462E+00,-3.2817E-05,-4.1060E-04,3.6489E-03,2.5748E-05,0.0000E+00
20,6.0000E+01,1.5400E+03,5.3572E-02,-1.0501E+00,-2.7196E-05,-4.1886E-04,3.2215E-03,2.4832E-05,0.0000E+00
21,6.0000E+01,1.5500E+03,4.0290E-02,-1.0545E+00,-1.3196E-05,-4.1834E-04,3.2115E-03,2.2986E-05,0.0000E+00
22,6.0000E+01,1.5600E+03,2.5456E-02,-1.0602E+00,-1.5554E-06,-4.1470E-04,3.3400E-03,2.8087E-05,0.0000E+00
23,7.0000E+01,1.5600E+03,2.8116E-02,-1.0692E+00,-9.5308E-06,-4.0562E-04,3.2476E-03,3.0275E-05,0.0000E+00
24,7.0000E+01,1.5500E+03,3.9602E-02,-1.0628E+00,-1.9359E-05,-4.0805E-04,3.0282E-03,2.4131E-05,0.0000E+00
25,7.0000E+01,1.5400E+03,5.2836E-02,-1.0587E+00,-2.0093E-05,-4.0742E-04,2.7435E-03,2.4713E-05,0.0000E+00
26,7.0000E+01,1.5300E+03,6.5254E-02,-1.0554E+00,-3.0193E-05,-4.0241E-04,3.1699E-03,2.2464E-05,0.0000E+00
27,7.0000E+01,1.5200E+03,7.8694E-02,-1.0510E+00,-4.3598E-05,-3.9252E-04,3.3663E-03,2.6716E-05,0.0000E+00
28,7.0000E+01,1.5100E+03,9.1852E-02,-1.0465E+00,-5.4901E-05,-3.7777E-04,3.6475E-03,2.5732E-05,0.0000E+00
29,7.0000E+01,1.5000E+03,1.0548E-01,-1.0428E+00,-6.2248E-05,-3.6515E-04,3.5359E-03,2.3738E-05,0.0000E+00
